Correct,cdfRatioOfSums1,cdfRatioOfSums2,cdfRatioOfSums3,cdfRatioOfSums4,cdfRatioOfSums5,tOrthoVStParaAbs,hOrthoVShParaAbs,validFrameLength
0,1.069095652,1.114057173,1.148079263,1.263375993,1.286570774,0,0,4
1,1.01296,0.983,0.96618,0.90523,0.89914,0.1315,0.40816,876
1,0.97523,0.98601,0.98114,0.91662,0.9426,0.14864,0.40123,844
1,0.89286,0.87755,0.82192,0.82,0.88866,0,0,1
0,1.166670556,1.100364221,1.095746313,1.204543538,1.2300123,0,0,3
0,1.206345377,1.162790698,1.157019056,1.156055999,1.204964454,0,0,2
0,1.073744792,1.108696616,1.100606434,1.115299681,1.12188117,0.3287,0.16879,439
1,0.98738,0.95749,0.94562,0.89223,0.90107,0.29577,0.26519,99
1,0.9642,0.91418,0.88251,0.84647,0.84,0.17076,0.51868,287
1,0.92473,0.89267,0.87955,0.86195,0.8616,0.1557,0.39893,109
1,0.91876,0.81873,0.87118,0.83178,0.84823,0.35198,0.55554,53
1,0.797632626,0.819819968,0.900706154,0.956644855,0.970449803,0,0,2
0,0.94444,1.03261,0.992,0.92529,0.90972,0,0,2
0,0.992073334,1.017853144,1.034918138,1.129394757,1.084457554,0.38079,0.30616,12
0,1.072202089,1.046999822,1.044211933,1.113759383,1.108352545,0.41464,0.18106,2382
1,0.96981,1.03135,0.98676,0.88689,0.86119,0.04797,0.25862,6
0,1.361915398,1.264702163,1.154374502,1.111432192,1.035357457,0.2366,0.07361,17
1,0.79146,0.83569,0.89631,0.90171,0.95307,0.09244,0.35068,49
0,1.155628489,1.14204792,1.083224108,1.106145746,1.063580864,0.37306,0.16113,38
1,1.08795,1.04649,1.01282,0.9508,0.97433,0,0,7
0,1.103253495,1.133722578,1.096779854,1.144479033,1.114019941,0.57818,0.16642,72
1,0.82688,0.8834,0.94295,0.91456,0.89995,0.13283,0.32651,35
1,0.897,0.90535,0.90894,0.8691,0.86868,0.14281,0.31112,82
1,0.85469,0.85687,0.88247,0.85076,0.85675,0.06694,0.30606,52
0,1.132746571,1.074667928,1.107015155,1.186704167,1.209628644,0.14739,0.08121,7
0,1.120096776,1.156978897,1.139406369,1.134159758,1.111123457,0.37141,0.17747,639
1,1.01999,1.02473,1.00755,0.93092,0.95425,0.15083,0.45069,750
0,1.090215318,1.064214716,1.057753332,1.129305477,1.122863752,0.14839,0.11657,5
1,0.7592,0.87013,0.95342,0.92046,0.93507,0.13755,0.30043,23
0,1.060850378,0.980863356,0.976743732,1.132182281,1.135886048,0.16656,0.52037,4
1,0.72508,0.84211,0.94176,0.86564,0.86836,0.03055,0.3217,5
1,0.79597,0.82035,0.83082,0.81883,0.84365,0.0582,0.07191,10
1,0.86622,0.8657,0.87628,0.8645,0.86304,0.13178,0.13989,27
1,0.93439,0.91605,0.9252,0.92275,0.88123,0.07815,0.44788,60
0,1.072708159,1.048767698,1.034393587,1.095290252,1.134970718,0.40031,0.07483,8
1,0.88684,0.89202,0.89562,0.84946,0.85564,0.13306,0.42796,86
1,0.68396,0.81805,0.89218,0.8487,0.82896,0.14689,0.38492,17
1,0.91938,0.93069,0.91622,0.88434,0.86841,0.20272,0.35729,294
1,1.20354,1.11414,1.02716,0.89186,0.87567,0.14897,0.26464,95
0,0.919041623,0.943049255,0.980372934,1.066723559,1.075685211,0.30743,0.12712,248
1,0.97569,0.96187,0.96612,0.89727,0.87541,0.27861,0.48015,19160
0,1.052055717,1.077354019,1.089336485,1.114976363,1.115026092,0.40608,0.2488,4162
0,1.030216242,1.05627852,1.078609026,1.081338264,1.078713742,0.52474,0.30522,10225
1,0.78928,0.74378,0.78982,0.84105,0.88554,0.49818,0.66792,555
1,0.84936,0.78488,0.80607,0.88378,0.90501,0.28157,0.43982,731
0,1.060692845,1.110420183,1.111629872,1.084798716,1.072650627,0.40816,0.20646,3010
0,0.985134323,1.0468135,1.048800696,1.004631351,1.021293979,0.41203,0.21566,13831
0,1.097755091,1.10198909,1.054429659,1.041959718,1.060299216,0.47218,0.1946,4046
1,1.05123,1.08266,1.06346,0.98824,0.89087,0.06362,0.17965,25
0,1.054807814,1.019534277,1.039976705,1.012863365,0.984668708,0.53212,0.10134,23
1,0.85366,0.83333,0.71006,0.81888,0.82047,0,0,1
0,1.127383006,1.142595978,1.4999925,1.302897644,1.225970969,0,0,3
0,1.125669774,1.117643114,1.49206965,1.238098776,1.102475057,0,0,1
0,1.044757407,1.092215778,1.29854952,1.194300797,1.132400236,0.78108,0.48647,28
1,0.84153,0.90299,0.99522,0.95772,1.01362,0.19875,0.28916,12
0,0.994955575,1.057574347,1.147855232,1.092597651,1.073030453,0.54826,0.13388,38
0,1.123115973,1.143615196,1.111531023,1.04245937,1.003592862,0.75802,0.53821,65
0,0.95456,0.8871,0.93322,0.95816,0.94267,0,0,4
0,0.955757964,0.916254352,0.954845363,0.97514359,0.949126803,0.97321,0.17967,14
1,1.05284,0.99727,0.9808,0.99714,1.0037,0.14922,0.30854,9
1,0.99064,0.91801,0.83021,0.70873,0.69315,0.34632,0.46078,19536
0,1.000120014,0.922279506,0.924188793,1.078818478,1.153894972,0.50393,0.15233,252
0,0.792204706,0.733331378,0.866663778,0.991522483,0.986426768,0,0,2
1,0.83511,0.91801,0.97261,0.89483,0.87519,0.25019,0.40509,551
1,0.91844,0.99442,0.99267,0.91445,0.89009,0.29936,0.5087,221
0,1.125099853,1.067577666,1.066666667,1.103216981,1.110827233,0.48691,0.19418,1196
0,0.968082326,0.975790634,1.031629769,1.00122149,0.984804467,0.39323,0.21155,100
1,0.82019,0.94799,0.98738,0.92863,0.89948,0.21964,0.50761,1720
0,1.586747485,1.37082071,1.257640164,1.127408426,1.104020844,0.6778,0.7118,28
1,0.77539,0.87091,0.94472,0.90877,0.86678,0.14812,0.33931,127
0,1.160065892,1.110038074,1.091965319,1.074136931,1.094391245,0.44073,0.17285,853
0,1.177870175,1.050034126,1.012924922,1.064124119,1.107395185,0.4779,0.17543,802
1,0.82851,0.86635,0.93494,0.87618,0.85319,0.49139,0.54395,91
1,0.84823,0.96087,0.96131,0.88646,0.85116,0.27432,0.3822,819
